customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3832-['T' 'X' 'E' 'B' 'F'],Male,0,No,Yes,40,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),76.15,3049.34,No
6569-['M' 'K' 'K' 'P' 'K'],Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.02,755.36,Yes
2906-['O' 'Y' 'W' 'W' 'P'],Male,1,Yes,Yes,59,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,88.56,5221.5,Yes
7238-['K' 'V' 'P' 'H' 'D'],Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.74,2355.25,No
9472-['C' 'C' 'R' 'Z' 'S'],Male,0,No,Yes,51,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),94.66,4827.48,Yes
8570-['U' 'E' 'R' 'J' 'V'],Male,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,89.72,2424.35,No
7981-['A' 'E' 'I' 'L' 'Z'],Male,0,Yes,Yes,64,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.74,5996.79,Yes
3593-['Q' 'N' 'Z' 'M' 'I'],Male,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,97.04,1552.99,Yes
7937-['Y' 'O' 'Y' 'V' 'O'],Male,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.55,1358.5,No
7493-['K' 'P' 'Q' 'Z' 'D'],Male,1,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.59,886.8,Yes
2276-['T' 'O' 'O' 'X' 'V'],Female,1,Yes,Yes,62,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),80.77,5011.37,Yes
9717-['Z' 'W' 'N' 'X' 'B'],Female,0,Yes,Yes,46,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,81.15,3736.59,Yes
1364-['Z' 'N' 'X' 'S' 'G'],Male,0,No,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.66,838.13,No
6122-['O' 'W' 'N' 'K' 'O'],Female,1,No,Yes,69,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),97.41,6726.02,Yes
2531-['M' 'R' 'Z' 'F' 'C'],Female,0,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),111.17,5776.6,Yes
2906-['O' 'Y' 'W' 'E' 'J'],Female,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),100.74,4326.85,Yes
2062-['Y' 'Q' 'G' 'V' 'Z'],Female,0,No,Yes,53,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,91.24,4834.53,No
1125-['L' 'Y' 'Q' 'M' 'T'],Female,0,No,No,19,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,80.67,1533.74,No
7168-['D' 'J' 'C' 'I' 'M'],Female,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,32.99,990.99,No
7371-['O' 'V' 'B' 'O' 'H'],Male,0,Yes,Yes,6,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Mailed check,75.85,454.86,No
7891-['S' 'J' 'I' 'E' 'F'],Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,72.8,4145.85,Yes
3739-['Z' 'B' 'X' 'M' 'F'],Female,0,No,Yes,9,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,69.09,618.51,No
4812-['Y' 'A' 'U' 'V' 'U'],Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),100.95,912.07,No
2733-['F' 'W' 'P' 'D' 'K'],Female,0,No,Yes,38,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),69.73,2653.42,Yes
4517-['X' 'W' 'I' 'W' 'C'],Male,0,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.11,868.71,No
9434-['H' 'E' 'D' 'X' 'F'],Male,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.3,822.34,No
8489-['T' 'K' 'D' 'O' 'F'],Male,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,30.03,1082.06,No
1117-['Q' 'X' 'F' 'S' 'Y'],Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.8,2161.83,No
5289-['O' 'K' 'H' 'Z' 'S'],Female,0,Yes,Yes,42,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,87.68,3681.84,No
7316-['L' 'E' 'F' 'Z' 'V'],Male,1,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),91.1,4648.06,No
9915-['A' 'T' 'Q' 'L' 'O'],Male,1,No,Yes,55,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.79,4773.82,Yes
3048-['Z' 'N' 'F' 'E' 'K'],Male,0,No,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,88.06,5895.21,No
7988-['K' 'C' 'A' 'F' 'R'],Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),91.33,735.18,No
1009-['E' 'W' 'J' 'L' 'B'],Female,0,Yes,No,22,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.71,1779.07,No
3060-['H' 'B' 'T' 'A' 'E'],Male,1,No,Yes,62,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,75.55,4681.71,No
3832-['I' 'K' 'O' 'X' 'F'],Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.68,1661.96,No
4490-['Q' 'E' 'L' 'R' 'N'],Male,0,No,Yes,39,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),72.65,2837.58,No
2908-['X' 'K' 'I' 'B' 'L'],Female,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.35,1344.01,Yes
9162-['C' 'A' 'H' 'V' 'H'],Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),82.85,1905.58,Yes
7413-['C' 'U' 'E' 'E' 'S'],Male,0,Yes,No,50,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.81,4240.06,No
8546-['N' 'Z' 'D' 'Y' 'M'],Male,0,No,Yes,57,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),64.14,3655.08,No
2065-['Y' 'R' 'H' 'H' 'G'],Male,1,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,98.3,3148.96,No
7943-['S' 'F' 'A' 'W' 'O'],Male,1,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,86.24,1292.41,Yes
3712-['Q' 'A' 'O' 'W' 'B'],Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),102.11,2139.95,Yes
2997-['U' 'H' 'H' 'S' 'G'],Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,85.09,4760.7,Yes
2970-['F' 'F' 'C' 'G' 'S'],Male,0,Yes,Yes,61,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,75.79,4618.62,Yes
9135-['J' 'T' 'O' 'O' 'A'],Male,0,Yes,Yes,70,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),77.39,5416.39,Yes
9669-['G' 'D' 'F' 'Y' 'A'],Female,0,No,No,71,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,77.17,5481.25,No
1950-['A' 'D' 'V' 'B' 'J'],Male,0,No,No,69,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),89.99,6206.35,No
5612-['J' 'A' 'V' 'F' 'M'],Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),88.56,2569.7,No
8326-['O' 'D' 'M' 'X' 'T'],Male,0,No,Yes,22,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),96.46,2123.99,Yes
8863-['O' 'H' 'E' 'O' 'D'],Female,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.16,3102.51,Yes
3891-['M' 'B' 'S' 'S' 'D'],Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.08,5045.49,Yes
1793-['K' 'E' 'T' 'K' 'J'],Female,0,No,No,8,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,66.97,537.61,Yes
7166-['O' 'Z' 'N' 'K' 'L'],Female,1,Yes,No,30,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.21,2075.97,Yes
8783-['R' 'Y' 'A' 'O' 'H'],Female,1,Yes,Yes,70,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,57.27,4007.27,No
1827-['K' 'L' 'L' 'D' 'P'],Male,1,No,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.31,675.67,Yes
4876-['H' 'J' 'Q' 'Z' 'I'],Female,0,No,Yes,12,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),77.06,929.5,Yes
6109-['S' 'N' 'H' 'I' 'V'],Male,0,Yes,Yes,57,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,84.9,4838.57,No
2792-['N' 'E' 'U' 'Z' 'N'],Female,0,Yes,Yes,2,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),75.8,150.52,No
4030-['Y' 'A' 'V' 'W' 'S'],Female,1,Yes,Yes,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,69.77,2371.82,No
6031-['O' 'U' 'O' 'I' 'U'],Male,0,Yes,Yes,20,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,79.95,1594.76,No
9393-['T' 'Y' 'U' 'Z' 'I'],Male,0,Yes,Yes,63,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),77.2,4864.13,No
8970-['T' 'Y' 'Z' 'K' 'F'],Male,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),77.8,3966.09,Yes
9577-['G' 'R' 'B' 'Q' 'K'],Male,0,No,Yes,33,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,99.87,3291.92,No
5971-['S' 'V' 'X' 'Y' 'G'],Female,0,No,No,34,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,62.46,2123.3,No
6299-['F' 'U' 'X' 'A' 'Q'],Male,0,No,Yes,14,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,86.28,1202.95,No
5380-['K' 'V' 'Z' 'R' 'U'],Female,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,85.21,425.07,Yes
1966-['Q' 'T' 'I' 'Q' 'T'],Male,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.1,836.16,No
4701-['V' 'H' 'Q' 'G' 'A'],Male,1,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.51,1449.25,Yes
2759-['M' 'W' 'S' 'X' 'S'],Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),87.53,2366.55,No
3079-['Q' 'M' 'P' 'H' 'S'],Female,0,No,Yes,63,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.56,3945.44,No
3065-['A' 'N' 'S' 'O' 'R'],Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.79,1703.3,No
7645-['Q' 'R' 'F' 'S' 'D'],Female,1,Yes,Yes,14,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,62.89,880.85,No
7016-['H' 'W' 'G' 'C' 'J'],Female,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.84,156.98,Yes
2481-['S' 'N' 'B' 'A' 'W'],Female,1,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.06,1948.26,No
1054-['R' 'G' 'H' 'A' 'Y'],Female,0,Yes,Yes,37,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),48.73,1802.38,No
6954-['X' 'W' 'H' 'V' 'Y'],Female,1,Yes,Yes,25,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,87.18,2177.19,Yes
4310-['E' 'C' 'S' 'A' 'O'],Female,1,No,Yes,50,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,47.56,2380.0,No
8970-['X' 'N' 'X' 'N' 'K'],Female,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,101.31,7290.58,Yes
5547-['T' 'E' 'V' 'U' 'N'],Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.02,1556.57,No
1822-['P' 'R' 'G' 'J' 'G'],Male,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.09,1767.63,No
3198-['U' 'S' 'P' 'S' 'D'],Female,0,Yes,Yes,58,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,85.17,4941.52,No
2308-['R' 'B' 'A' 'O' 'E'],Male,0,No,No,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,106.7,7362.29,Yes
7035-['K' 'J' 'B' 'C' 'W'],Female,0,No,Yes,57,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,95.57,5447.17,Yes
5491-['T' 'E' 'E' 'F' 'I'],Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),93.0,1115.97,No
8083-['C' 'T' 'Z' 'V' 'L'],Female,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,32.33,1357.23,No
3679-['N' 'W' 'Q' 'R' 'S'],Female,0,Yes,No,50,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.72,4134.93,No
3573-['I' 'H' 'B' 'M' 'Y'],Male,0,No,Yes,18,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,104.66,1883.88,No
8368-['V' 'V' 'K' 'N' 'D'],Male,0,No,No,20,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.5,1450.29,No
7809-['Z' 'M' 'B' 'W' 'E'],Female,0,No,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.33,676.51,Yes
1074-['F' 'R' 'U' 'J' 'D'],Male,0,No,Yes,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,101.02,2527.61,Yes
9232-['F' 'B' 'Q' 'E' 'Y'],Female,0,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.97,1273.46,No
8141-['Z' 'L' 'W' 'U' 'J'],Female,1,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),30.98,835.6,No
1341-['U' 'Y' 'F' 'H' 'B'],Male,0,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),32.97,921.9,No
7136-['U' 'G' 'J' 'M' 'Q'],Male,0,Yes,No,16,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,90.15,1442.77,No
3969-['U' 'Z' 'N' 'B' 'V'],Female,0,Yes,No,67,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,95.4,6391.33,No
2386-['A' 'S' 'U' 'D' 'S'],Female,0,No,Yes,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),113.02,4863.76,No
5124-['U' 'K' 'H' 'K' 'D'],Male,1,No,Yes,60,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,84.19,5053.36,Yes
9378-['G' 'H' 'C' 'V' 'B'],Female,1,No,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,96.01,6436.66,Yes
5150-['O' 'X' 'V' 'V' 'E'],Male,0,No,Yes,24,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,69.54,1671.05,No
8479-['A' 'Z' 'D' 'O' 'T'],Female,0,Yes,No,66,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),72.3,4776.51,Yes
2762-['T' 'K' 'Q' 'M' 'K'],Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.32,31.68,No
1481-['I' 'Z' 'B' 'U' 'I'],Male,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,99.77,4793.6,Yes
3343-['Q' 'A' 'Y' 'K' 'H'],Male,1,No,No,69,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,75.8,5226.78,Yes
7185-['Y' 'G' 'C' 'C' 'R'],Male,0,No,Yes,25,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,87.63,2186.27,No
2252-['L' 'L' 'S' 'F' 'B'],Female,0,No,Yes,71,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,68.3,4850.09,No
7667-['S' 'E' 'L' 'Q' 'Q'],Female,0,No,Yes,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.34,481.67,No
1329-['Y' 'W' 'Q' 'O' 'L'],Female,0,Yes,Yes,17,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),73.65,1251.23,No
2341-['P' 'X' 'S' 'H' 'U'],Female,0,Yes,Yes,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.52,1084.68,No
2750-['E' 'V' 'P' 'F' 'H'],Male,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,95.96, ,No
7609-['Y' 'L' 'O' 'Z' 'I'],Female,0,No,Yes,60,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.11,3426.82,No
9044-['Z' 'O' 'J' 'P' 'G'],Female,0,No,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),91.45,184.39,No
9592-['W' 'Z' 'U' 'V' 'Z'],Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,84.59,5665.68,No
1390-['N' 'O' 'U' 'G' 'I'],Male,1,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,88.99,3561.75,Yes
9007-['R' 'W' 'R' 'T' 'G'],Female,0,No,Yes,36,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,85.31,3075.91,Yes
4042-['R' 'J' 'G' 'Q' 'N'],Female,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.73,4340.47,Yes
4223-['C' 'L' 'M' 'B' 'C'],Male,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,93.76,1310.56,No
3983-['Z' 'W' 'W' 'L' 'G'],Female,0,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),92.03,642.48,No
8694-['X' 'Q' 'D' 'V' 'Y'],Female,0,Yes,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,31.2,1153.12,No
8564-['R' 'A' 'P' 'M' 'J'],Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.06,4512.25,No
9502-['C' 'J' 'B' 'W' 'M'],Female,0,Yes,Yes,46,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),65.57,3012.22,No
4810-['G' 'N' 'T' 'Q' 'U'],Female,1,No,Yes,9,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),96.71,873.01,Yes
1271-['X' 'L' 'O' 'Y' 'J'],Female,0,No,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.49,1510.17,No
8069-['Y' 'G' 'T' 'E' 'A'],Male,0,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.43,1221.0,No
4760-['C' 'M' 'N' 'X' 'R'],Female,0,No,No,29,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),76.87,2233.5,No
7467-['R' 'E' 'Y' 'P' 'A'],Female,0,No,Yes,4,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),59.47,233.12,No
9173-['O' 'I' 'O' 'Q' 'Y'],Male,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),96.24,6741.69,No
8511-['D' 'L' 'Z' 'E' 'E'],Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,31.68,952.5,Yes
5805-['G' 'X' 'N' 'X' 'K'],Female,0,No,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,31.83,1623.53,No
2868-['B' 'Y' 'G' 'T' 'D'],Female,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),31.93,701.36,No
6690-['H' 'T' 'V' 'U' 'S'],Female,0,Yes,Yes,47,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.84,3564.67,Yes
4564-['N' 'J' 'K' 'B' 'Y'],Female,0,No,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,83.15,3241.1,No
3265-['I' 'Q' 'Z' 'C' 'X'],Male,1,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.6,139.23,No
4845-['E' 'E' 'V' 'O' 'W'],Female,0,No,Yes,37,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.46,3490.95,No
3736-['I' 'C' 'T' 'Z' 'Q'],Male,0,Yes,Yes,40,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,75.32,3014.01,No
8657-['C' 'R' 'R' 'Q' 'X'],Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,85.91,2231.41,Yes
9194-['C' 'F' 'M' 'X' 'O'],Female,0,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.86,1889.66,Yes
5675-['N' 'E' 'B' 'K' 'I'],Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),100.61,5634.69,Yes
8490-['I' 'C' 'Y' 'B' 'L'],Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,100.93,1615.66,Yes
1954-['B' 'X' 'O' 'F' 'H'],Male,0,Yes,Yes,70,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,64.6,4521.27,Yes
6370-['E' 'P' 'Z' 'R' 'F'],Female,0,No,No,46,No,No phone service,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),60.57,2781.94,No
9228-['P' 'M' 'E' 'M' 'Q'],Male,0,No,Yes,12,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,66.66,803.85,No
